# Version 1.00
#
freq[Hz];Trc1_S21[dB];
1.000000000000000E+005;-5.391265653150665E+000;
4.259950000000000E+007;-6.818339448790479E+000;
8.509900000000000E+007;-5.395515618849506E+000;
1.275985000000000E+008;-6.010762863329560E+000;
1.700980000000000E+008;-5.844528449207202E+000;
2.125975000000000E+008;-5.991289982446034E+000;
2.550970000000000E+008;-6.675670733073400E+000;
2.975965000000000E+008;-5.578434734600651E+000;
3.400960000000000E+008;-5.514905103627181E+000;
3.825955000000000E+008;-5.295649248168046E+000;
4.250950000000000E+008;-5.730495605037048E+000;
4.675945000000000E+008;-5.467442653715499E+000;
5.100940000000000E+008;-5.714441330537595E+000;
5.525935000000000E+008;-5.115755646202450E+000;
5.950930000000000E+008;-4.722653812182094E+000;
6.375925000000000E+008;-4.436253542765389E+000;
6.800920000000000E+008;-5.841869522981567E+000;
7.225915000000000E+008;-4.219112398927187E+000;
7.650910000000000E+008;-4.457862363083323E+000;
8.075905000000000E+008;-4.623118220659173E+000;
8.500900000000000E+008;-5.523087130490759E+000;
8.925895000000000E+008;-5.118684090168262E+000;
9.350890000000000E+008;-4.859216561546974E+000;
9.775885000000000E+008;-5.139438893774453E+000;
1.020088000000000E+009;-5.345291302844048E+000;
1.062587500000000E+009;-4.589767438836376E+000;
1.105087000000000E+009;-4.635335238056663E+000;
1.147586500000000E+009;-4.503585786474141E+000;
1.190086000000000E+009;-5.605724425853424E+000;
1.232585500000000E+009;-5.513536527601319E+000;
1.275085000000000E+009;-5.973781677312698E+000;
1.317584500000000E+009;-5.139534648678518E+000;
1.360084000000000E+009;-5.255787602728189E+000;
1.402583500000000E+009;-5.810683928395047E+000;
1.445083000000000E+009;-6.288542473742469E+000;
1.487582500000000E+009;-6.669353395873126E+000;
1.530082000000000E+009;-6.068645802155980E+000;
1.572581500000000E+009;-7.128923182957002E+000;
1.615081000000000E+009;-6.613092206278697E+000;
1.657580500000000E+009;-6.489902858544870E+000;
1.700080000000000E+009;-6.406114352823808E+000;
1.742579500000000E+009;-6.154749600285791E+000;
1.785079000000000E+009;-6.937839335133978E+000;
1.827578500000000E+009;-6.125197318567310E+000;
1.870078000000000E+009;-6.517613188827465E+000;
1.912577500000000E+009;-5.601087448060614E+000;
1.955077000000000E+009;-5.992803606935566E+000;
1.997576500000000E+009;-6.392843817084407E+000;
2.040076000000000E+009;-5.495847889076821E+000;
2.082575500000000E+009;-5.877503432618020E+000;
2.125075000000000E+009;-6.447339125699770E+000;
2.167574500000000E+009;-6.356531053436392E+000;
2.210074000000000E+009;-5.551666104001730E+000;
2.252573500000000E+009;-5.594602672049987E+000;
2.295073000000000E+009;-5.201568976285741E+000;
2.337572500000000E+009;-6.140363845217011E+000;
2.380072000000000E+009;-5.051885746688916E+000;
2.422571500000000E+009;-4.473936682230918E+000;
2.465071000000000E+009;-5.298099848992401E+000;
2.507570500000000E+009;-4.913261326299634E+000;
2.550070000000000E+009;-4.695475532890509E+000;
2.592569500000000E+009;-4.935607683509991E+000;
2.635069000000000E+009;-4.993428127410786E+000;
2.677568500000000E+009;-5.848729919570469E+000;
2.720068000000000E+009;-4.956623790947227E+000;
2.762567500000000E+009;-5.378755662910518E+000;
2.805067000000000E+009;-5.346765828580077E+000;
2.847566500000000E+009;-5.686867839314892E+000;
2.890066000000000E+009;-5.612313754503074E+000;
2.932565500000000E+009;-5.760606839217527E+000;
2.975065000000000E+009;-6.330935883337246E+000;
3.017564500000000E+009;-7.097815123221180E+000;
3.060064000000000E+009;-6.674266600718600E+000;
3.102563500000000E+009;-6.167420138756270E+000;
3.145063000000000E+009;-7.221919054522086E+000;
3.187562500000000E+009;-7.480087102559635E+000;
3.230062000000000E+009;-7.926744859078360E+000;
3.272561500000000E+009;-7.653676484616009E+000;
3.315061000000000E+009;-7.486921132183751E+000;
3.357560500000000E+009;-7.044663284292255E+000;
3.400060000000000E+009;-7.139629687383787E+000;
3.442559500000000E+009;-6.626212800715967E+000;
3.485059000000000E+009;-6.605010086645514E+000;
3.527558500000000E+009;-5.716820103979710E+000;
3.570058000000000E+009;-6.622633002695460E+000;
3.612557500000000E+009;-5.723387075120567E+000;
3.655057000000000E+009;-5.318532867913934E+000;
3.697556500000000E+009;-6.804505069464205E+000;
3.740056000000000E+009;-5.495416781192933E+000;
3.782555500000000E+009;-6.557697726240703E+000;
3.825055000000000E+009;-5.931256325982578E+000;
3.867554500000000E+009;-6.032762135012332E+000;
3.910054000000000E+009;-4.956109503207668E+000;
3.952553500000000E+009;-6.021427228837460E+000;
3.995053000000000E+009;-4.968867221761439E+000;
4.037552500000000E+009;-5.390365529343313E+000;
4.080052000000000E+009;-4.874378181619073E+000;
4.122551500000000E+009;-5.676237358997106E+000;
4.165051000000000E+009;-5.404263543306539E+000;
4.207550500000000E+009;-5.530514677480377E+000;
4.250050000000000E+009;-5.233728123826491E+000;
4.292549500000000E+009;-5.851394442598438E+000;
4.335049000000000E+009;-6.082737707727214E+000;
4.377548500000000E+009;-5.021936680647832E+000;
4.420048000000000E+009;-5.965965605343284E+000;
4.462547500000000E+009;-5.503740755081252E+000;
4.505047000000000E+009;-6.131230389670790E+000;
4.547546500000000E+009;-5.565373941564404E+000;
4.590046000000000E+009;-5.650973014628583E+000;
4.632545500000000E+009;-7.023389323449997E+000;
4.675045000000000E+009;-6.547741323609468E+000;
4.717544500000000E+009;-7.210094879773287E+000;
4.760044000000000E+009;-8.415716239981359E+000;
4.802543500000000E+009;-7.441708333819342E+000;
4.845043000000000E+009;-8.508384090554035E+000;
4.887542500000000E+009;-8.251816036947366E+000;
4.930042000000000E+009;-8.810235562986589E+000;
4.972541500000000E+009;-9.115677393536153E+000;
5.015041000000000E+009;-9.492834735088229E+000;
5.057540500000000E+009;-1.150066107555180E+001;
5.100040000000000E+009;-1.469406250821371E+001;
5.142539500000000E+009;-1.344339926977658E+001;
5.185039000000000E+009;-9.703715345989979E+000;
5.227538500000000E+009;-7.630312794390309E+000;
5.270038000000000E+009;-7.057905472810685E+000;
5.312537500000000E+009;-7.484767686216594E+000;
5.355037000000000E+009;-5.866593376308189E+000;
5.397536500000000E+009;-7.075943553544500E+000;
5.440036000000000E+009;-6.018488847764850E+000;
5.482535500000000E+009;-5.706031497554928E+000;
5.525035000000000E+009;-6.597585666093177E+000;
5.567534500000000E+009;-6.099239829635716E+000;
5.610034000000000E+009;-5.509564087434421E+000;
5.652533500000000E+009;-6.296434727085859E+000;
5.695033000000000E+009;-5.431263689269676E+000;
5.737532500000000E+009;-5.526752197566812E+000;
5.780032000000000E+009;-6.152286820090994E+000;
5.822531500000000E+009;-4.894444727647888E+000;
5.865031000000000E+009;-4.640677538064754E+000;
5.907530500000000E+009;-5.364532665170284E+000;
5.950030000000000E+009;-5.316942633519445E+000;
5.992529500000000E+009;-5.617855723014125E+000;
6.035029000000000E+009;-5.450551541059148E+000;
6.077528500000000E+009;-4.622087182352362E+000;
6.120028000000000E+009;-4.748319851762194E+000;
6.162527500000000E+009;-5.430066953175352E+000;
6.205027000000000E+009;-4.892052892514524E+000;
6.247526500000000E+009;-5.808495998972152E+000;
6.290026000000000E+009;-4.851704876195959E+000;
6.332525500000000E+009;-5.637255440758946E+000;
6.375025000000000E+009;-4.878297260904801E+000;
6.417524500000000E+009;-5.936739018795608E+000;
6.460024000000000E+009;-4.680318640414546E+000;
